New Cases Reported,Cases (1-day lag),Cases (7-day lag),Cases (14-day lag),Moving Avg (7 days),Moving Avg (14 days),Growth Rate (%),Temperature (?C),Humidity (%),Rainfall (mm)
549,560.1024282894043,594.6927380840117,391.0805324210373,577.3975831867081,492.88663525252446,-1.982213918,34.39819704323989,63.29770563201687,0
486,465.7074724272497,507.7442027340306,380.8764097661354,486.72583758064013,444.310306250083,4.3573549436487315,20.842892970704362,44.65447373174767,0
522,476.5913863076632,615.727300178496,667.8359527589521,546.1593432430795,641.781626468724,9.527787324092198,31.16794696232922,42.18455076693483,0
423,457.62850601586496,382.18557288672287,464.24815576904064,419.90703945129394,423.21686432788175,-7.566946893,21.23422152178822,50.80272084711243,0
453,411.79759237529476,421.3498559343035,422.74248733760123,416.57372415479915,422.04617163595236,10.005499883339562,20.426980635477918,63.14950036607718,0
506,555.2729579839724,561.1023413056434,414.5300809137747,558.187649644808,487.8162111097091,-8.873646245,15.110442342472048,62.618457138193364,0
593,572.9445057475242,489.4760406878449,525.7475100664326,531.2102732176845,507.61177537713877,3.500425268291782,21.503666440534943,59.18424713352256,0
567,573.948834204381,628.4553564136944,564.8892618831658,601.2020953090378,596.67230914843,-1.210706215,25.45465658763988,47.101640734341984,0
361,363.87652679198084,318.1220408517007,456.92208338285866,340.9992838218408,387.5220621172797,-0.790522768,26.97730932977072,57.79139732158818,0
471,463.1352370893885,543.2100007803148,421.3599029360904,503.17261893485164,482.2849518582026,1.6981568839456567,17.441759094013467,44.251913523079,0
474,472.5618812848316,510.4858718359952,408.4208677322995,491.52387656041344,459.45336978414736,0.3043238932557046,19.882510444955486,36.73164168691722,0
463,482.65625662700336,397.82569942736967,601.2723067465961,440.24097802718654,499.5490030869829,-4.072516694,20.335620285505698,69.06459823330611,0
480,467.4868277818949,430.49470814926576,567.30424983741,448.9907679655803,498.8994789933379,2.676689796261623,24.406012688920768,69.33692563579372,0
530,567.9860333102544,493.1032879027996,441.0366531258444,530.544660606527,467.069970514322,-6.68784637,29.22299064876036,62.380041845588615,0
393,370.1330293899843,399.5156214856934,439.16596136557035,384.82432543783887,419.3407914256319,6.178041080987211,19.571000435945994,36.99819708383745,0
547,588.8604159449138,478.8891153050938,474.42557792075405,533.8747656250039,476.6573466129239,-7.108716227,29.007156599455428,63.866445689532235,0
525,511.5896904889831,617.4280229161335,674.204108577925,564.5088567025583,645.8160657470293,2.6213017502755376,20.678419494749313,42.21455441377574,0
534,499.698265344838,505.4777323868989,612.2322355873226,502.5879988658684,558.8549839871107,6.864489439740332,29.418798485042586,42.32243167409557,0
475,468.7674647234907,446.51489746198837,516.354458178711,457.64118109273954,481.43467782034963,1.32955798888168,28.378481193261994,64.56670260287612,0
424,405.30671698436515,489.04058617635746,487.0196560795021,447.1736515803613,488.03012112792976,4.612132548584421,34.06143694047906,43.230012186820545,0
454,493.04552860082356,375.98756936227716,374.70945867842414,434.5165489815504,375.34851402035065,-7.919254173,28.42287033648101,44.34587125184656,0
577,553.517270576956,558.4854216678006,492.59884387240135,556.0013461223782,525.5421327701009,4.242456499788509,27.23027421731361,33.26376721600961,0
643,653.142025562272,627.175544440252,709.367682996888,640.158785001262,668.27161371857,-1.552805541,21.563053349494638,36.20166466910977,0
500,462.7060512651885,504.44865201096087,580.9980659295833,483.5773516380747,542.7233589702721,8.059965637544131,19.316420549936865,54.915619032760006,0
460,443.71199551059465,514.3142598374415,396.74970134833245,479.01312767401805,455.53198059288695,3.670850608999693,23.779428414112722,33.13825525369064,0
543,505.68906283407995,488.7527574813501,559.038047361254,497.220910157715,523.895402421302,7.378236926227931,29.291918454001248,56.40789506870925,0
527,554.1769800429445,424.63414740315255,405.6021689282869,489.40556372304854,415.1181581657197,-4.904025433,15.920052840435055,31.629152092758805,0
724,676.6796307629702,704.843437619317,679.910456622219,690.7615341911436,692.376947120768,6.99302403763434,27.31700196104433,55.40374603470575,0
500,508.5775581273464,588.0460482849916,522.6422533627637,548.311803206169,555.3441508238776,-1.686578181,22.763398524130437,55.73152873769413,0
575,540.0159805007692,475.95309920128807,437.26841047521214,507.9845398510286,456.6107548382501,6.478330412886922,15.364436513030995,33.77771843023714,0
623,647.5134508043733,655.132557417547,764.0990386564124,651.3230041109601,709.6157980369796,-3.785782484,29.701420876077716,62.13923721539394,0
370,360.529338348666,410.90911818981556,334.65838593616996,385.7192282692408,372.7837520629928,2.6268768291403197,33.61514651207129,64.33651007372048,0
614,662.5702524593335,586.7879322971104,433.7925908053419,624.6790923782219,510.29026155122614,-7.330581516,33.10763952838528,33.65146707144534,0
585,560.8056602886736,544.9075036165603,645.5539780830404,552.856581952617,595.2307408498004,4.314211040393637,30.0474905887536,61.66316174903394,0
681,643.2149080731743,652.8478963723383,841.1290769261909,648.0314022227562,746.9884866492646,5.874411717230767,17.93209643384051,50.533046747695714,0
540,549.9239837926987,507.64714128726774,607.4507073689567,528.7855625399832,557.5489243281122,-1.804610107,24.633339759282308,45.11950360489018,0
585,616.261797813703,660.5329423391461,670.7182915870976,638.3973700764245,665.6256169631218,-5.072811251,28.620788541938182,39.500258851698796,0
484,530.2607847354134,494.8425754812044,432.5081271558103,512.5516801083089,463.67535131850735,-8.724157258,15.868015665963455,66.98573320894384,0
584,630.8552556253476,477.8162744477646,507.2495016331175,554.335765036556,492.5328880404411,-7.427259297,34.008229681531176,65.61055135563666,0
393,399.5753703914786,326.61988493089564,504.8622956476821,363.0976276611871,415.7410902892889,-1.645589513,34.72421488959206,57.92646856078981,0
435,454.63759722978733,454.73424409282745,413.6614324718515,454.68592066130736,434.1978382823395,-4.319395789,33.65456966708027,64.64255558001634,0
339,345.3820625008748,322.84880015916656,434.5805885154903,334.11543133002067,378.7146943373284,-1.847826854,31.842378462714173,63.533148188445516,0
534,507.0167772661735,523.4362273022359,415.182676614539,515.2265022842047,469.30945195838746,5.321958551217892,34.08102054517445,54.246985378035205,0
691,693.8065242649043,766.2688034757307,699.3597875610325,730.0376638703175,732.8142955183816,-0.40451108,32.043630006370805,52.07627355097942,0
443,485.56899744318474,462.15316693882204,479.3200606872027,473.8610821910034,470.73661381301235,-8.766827715,26.096312170844513,33.64008364205321,0
753,782.7648658469157,842.2972988329718,734.6328878300807,812.5310823399437,788.4650933315263,-3.802529616,31.841828300374193,60.756709652615896,0
538,533.7088215066324,556.241666000258,505.81699782023884,544.9752437534452,531.0293319102484,0.8040298980357584,28.953351473938636,37.20269089397194,0
496,468.60582733790704,559.8432623499386,449.8965900399423,514.2245448439228,504.8699261949405,5.845888178069815,21.952384289653672,31.272187259406607,0
489,487.1560195387055,525.7306906639938,492.4201677747664,506.44335510134965,509.0754292193801,0.3785194860243329,18.139553654323876,45.0914386096829,0
396,416.5884683878568,400.95249542940775,448.39461618661204,408.7704819086323,424.6735558080099,-4.942159937,16.24682725022483,35.909563676249064,0
557,583.4469399588514,486.2128481244435,578.3771337526952,534.8298940416474,532.2949909385693,-4.532878339,31.814199717558623,33.568173148482245,0
531,528.8316192063014,548.8839705532895,606.4516406608193,538.8577948797954,577.6678056070543,0.41003236473511356,26.15484531900875,53.46141738643036,0
461,500.9863861506605,370.18933656192337,385.0270518472853,435.5878613562919,377.60819420460433,-7.981531486,22.30713639348115,49.51239203234952,0
433,391.2797988916961,467.1137252818643,562.1869879328289,429.19676208678015,514.6503566073466,10.662498096369093,32.93220525948041,53.0399367122264,0
523,499.98581319686576,579.3779216237532,424.79432829735083,539.6818674103095,502.086124960552,4.602967963427508,21.473584728084873,47.01745754465667,0
527,572.5343116738809,489.1913741072256,556.6858354478077,530.8628428905532,522.9386047775166,-7.953114904,22.38460963019792,48.170718888763986,0
600,581.8641919851594,703.0869946194781,719.0229868035825,642.4755933023188,711.0549907115303,3.1168455224863054,34.300538213330256,34.97188893942179,0
442,472.2176638654313,378.31175618752803,520.3048911052429,425.26471002647963,449.3083236463855,-6.399096471,19.032546400954892,36.54623771462818,0
442,452.9705765056745,449.0332917465072,425.7550879129875,451.0019341260909,437.39418982974735,-2.421918128,26.549725418122513,44.214498072735836,0
431,442.00843417475625,402.5377279668817,337.7157579907519,422.273081070819,370.12674297881676,-2.490548443,30.88050378540592,54.80291023714054,0
547,554.645931524922,604.4259604400631,670.6544819852062,579.5359459824926,637.5402212126346,-1.378524765,31.841634974318147,62.850292186880516,0
658,622.3694836126156,716.496876001055,744.8704246283902,669.4331798068354,730.6836503147226,5.724978059747239,37.82295265770595,57.757937778684,0
571,622.0797573836694,491.82546047171274,600.5423404489547,556.952608927691,546.1839004603337,-8.211126753,35.11777357768932,54.45816941738592,0
